carpark_id,area,address,latitude,longitude,x_coordinate,y_coordinate,total_lots,agency,dataset
BM20,BUKIT MERAH,BLK 89/90 REDHILL CLOSE,1.285247296,103.8187602,26379.7745,29741.6402,134,HDB,hdb
BM26,BUKIT MERAH,BLK 1/3/5 JALAN BUKIT MERAH,1.287291543,103.8074268,25118.4593,29967.6925,460,HDB,hdb
BM28,BUKIT MERAH,"BLK 117, 161 BUKIT MERAH CENTRAL",1.283999331,103.8158232,26052.9053,29603.6488,141,HDB,hdb
BM29,BUKIT MERAH,BLK 163 BUKIT MERAH CENTRAL,1.283634706,103.8170992,26194.9184,29563.3295,97,HDB,hdb
BM3,BUKIT MERAH,BLK 49/50 HOY FATT ROAD,1.287707766,103.8115278,25574.8666,30013.7121,5,HDB,hdb
BM30,BUKIT MERAH,BLK 164/165 BUKIT MERAH CENTRAL,1.283234333,103.8167334,26154.2109,29519.0586,134,HDB,hdb
BM31,BUKIT MERAH,BLK 119 BUKIT MERAH CENTRAL,1.28244913,103.816575,26136.5799,29432.235,622,HDB,hdb
BM4,BUKIT MERAH,BLK 35A JALAN RUMAH TINGGI,1.287667284,103.8089551,25288.5551,30009.2384,150,HDB,hdb
BM5,BUKIT MERAH,BLKS 8/10 JALAN RUMAH TINGGI,1.288431556,103.8076195,25139.9101,30093.7491,154,HDB,hdb
BM6,BUKIT MERAH,BLK 61 LENGKOK BAHRU,1.289533391,103.8137645,25823.7973,30215.5782,65,HDB,hdb
BM9,BUKIT MERAH,BLK 58/59 LENGKOK BAHRU,1.289097999,103.814358,25889.8506,30167.4343,612,HDB,hdb
BMVM,BUKIT MERAH,BLK 126A BUKIT MERAH VIEW,1.284626289,103.8231292,26866.0055,29672.9702,451,HDB,hdb
BP1,BUKIT MERAH,BLK 101/109 BUKIT PURMEI ROAD,1.272794946,103.82487,27059.7441,28364.7207,577,HDB,hdb
BP2,BUKIT MERAH,BLK 110/115 BUKIT PURMEI ROAD,1.274091691,103.8270043,27297.2734,28508.1074,317,HDB,hdb
BR10,NOVENA,BLK 90 WHAMPOA DRIVE,1.323018539,103.8545043,30357.7598,33918.1953,59,HDB,hdb
BR11,NOVENA,BLKS 27-30 & 32-33 JALAN BAHAGIA,1.326261839,103.8589644,30854.1176,34276.8274,268,HDB,hdb
BR12,NOVENA,BLKS 34/35 JALAN BAHAGIA,1.32721508,103.8577183,30715.4375,34382.2305,57,HDB,hdb
BR14,NOVENA,BLK 20 JALAN TENTERAM,1.325955651,103.8599835,30967.5336,34242.9719,78,HDB,hdb
BR4,NOVENA,BLK 81/89 WHAMPOA DRIVE,1.32357726,103.8554214,30459.8203,33979.9766,321,HDB,hdb
BR5,NOVENA,BLK 74/75 WHAMPOA DRIVE,1.324908971,103.8581906,30768.0099,34127.2333,152,HDB,hdb
BR6,NOVENA,BLK 92 WHAMPOA DRIVE,1.323038825,103.8535358,30249.9707,33920.4375,131,HDB,hdb
BR8,NOVENA,BLK 76/77 LORONG LIMAU,1.325160011,103.8545583,30363.7715,34154.9883,127,HDB,hdb
BR9,NOVENA,BLK 69 MOULMEIN ROAD,1.31896257,103.8507431,29939.1769,33469.7037,50,HDB,hdb
BRB1,ROCHOR,BLK 665 BUFFALO ROAD BASEMENT CAR PARK,1.306066749,103.850586,29921.7021,32043.75,170,HDB,hdb
BRBL,ROCHOR,BLK 665 BUFFALO ROAD LOADING/UNLOADING BAYS,1.306596894,103.8507075,29935.2249,32102.3708,10,HDB,hdb
BRM,KALLANG,BLK 39 BENDEMEER ROAD,1.320747202,103.8661729,31656.358,33667.0566,469,HDB,hdb
BRM1,NOVENA,BLK 112A WHAMPOA ROAD,1.326485488,103.856729,30605.3384,34301.5549,335,HDB,hdb
BRM3,NOVENA,BLK 98A WHAMPOA DRIVE,1.321527795,103.8546563,30374.6768,33753.3566,406,HDB,hdb
BRM4,NOVENA,BLK 85A WHAMPOA DRIVE,1.322730324,103.856074,30532.4552,33886.3275,176,HDB,hdb
BRM5,NOVENA,BLK 19A JALAN TENTERAM,1.327517449,103.8594306,30906.005,34415.6669,376,HDB,hdb
BRM6,NOVENA,BLK 116 JALAN TENTERAM,1.327783114,103.8611934,31102.1822,34445.0449,467,HDB,hdb
BRM7,NOVENA,BLK 78A LORONG LIMAU,1.324373897,103.855402,30457.6666,34068.0647,360,HDB,hdb
BTM,BUKIT MERAH,BLK 2B BOON TIONG ROAD,1.286783924,103.8332897,27996.7913,29911.548,532,HDB,hdb
BTM2,BUKIT MERAH,BLK 8C BOON TIONG ROAD,1.286963082,103.829641,27590.7177,29931.3587,613,HDB,hdb
BTM3,BUKIT MERAH,BLK 11A BOON TIONG ROAD,1.28631122,103.8286983,27485.7966,29859.2793,360,HDB,hdb
BVM2,BUKIT MERAH,BLK 129A BUKIT MERAH VIEW,1.283492803,103.8233757,26893.4354,29547.635,666,HDB,hdb
BWM,BUKIT MERAH,BLK 2A JALAN BUKIT MERAH,1.286928026,103.8067014,25037.7298,29927.4975,220,HDB,hdb
